unresolved_name,n_sources,tier,suggested_canonical,all_candidates,sources_referencing,synonyms_from_sources,grin_accession_id,action,notes
COUDERC  6055,1,tier3,COUDERC 6055,COUDERC 6055 | COUDERC 3309 | COUDERC 3 | COUDERC 1202 | COUDERC 1613 | COUDERC 1616 | COUDERC 3306 | COUDERC 161- 49 | COUDERC 2 | COUDERC 13,node profile,,,,
COUDERC  7201,1,tier3,COUDERC 7201,COUDERC 7201 | COUDERC 3309 | COUDERC 3 | COUDERC 1202 | COUDERC 1613 | COUDERC 1616 | COUDERC 3306 | COUDERC 161- 49 | COUDERC 2 | COUDERC 13,node profile,,,,
COUDERC  7502,1,tier3,COUDERC 7502,COUDERC 7502 | COUDERC 3309 | COUDERC 3 | COUDERC 1202 | COUDERC 1613 | COUDERC 1616 | COUDERC 3306 | COUDERC 161- 49 | COUDERC 2 | COUDERC 13,node profile,,,,
COUDERC 161-49,1,tier3,COUDERC 3309,COUDERC 3309 | COUDERC 3 | COUDERC 1202 | COUDERC 1613 | COUDERC 1616 | COUDERC 3306 | COUDERC 161- 49 | COUDERC 2 | COUDERC 13 | COUDERC 17,vivc confirmed,,,,
COUDERC 25 (QUESTIONABLE),1,tier3,COUDERC 3309,COUDERC 3309 | COUDERC 3 | COUDERC 1202 | COUDERC 1613 | COUDERC 1616 | COUDERC 3306 | COUDERC 161- 49 | COUDERC 2 | COUDERC 13 | COUDERC 17,lac emanuelli 2020,,,,
COUTINHO  6,1,tier3,COUTINHO 6,COUTINHO 6 | COUTINHO 19,vivc confirmed,,,,
CRIOLLA   1,1,tier3,CRIOLLA GRANDE SANJUANINA,CRIOLLA GRANDE SANJUANINA | CRIOLLA 5 | CRIOLLA BLANCA | CRIOLLA MEDIANA | CRIOLLA DE SIJAN | MALVASIA CRIOLLA | CRIOLLA DE TINOGASTA | CRIOLLA 1 | CRIOLLA 6 | CRIOLLA 125,vivc confirmed,,,,
CRIOLLA   5,1,tier3,CRIOLLA GRANDE SANJUANINA,CRIOLLA GRANDE SANJUANINA | CRIOLLA 5 | CRIOLLA BLANCA | CRIOLLA MEDIANA | CRIOLLA DE SIJAN | MALVASIA CRIOLLA | CRIOLLA DE TINOGASTA | CRIOLLA 1 | CRIOLLA 6 | CRIOLLA 125,vivc confirmed,,,,
CRIOLLA   6,1,tier3,CRIOLLA GRANDE SANJUANINA,CRIOLLA GRANDE SANJUANINA | CRIOLLA 5 | CRIOLLA BLANCA | CRIOLLA MEDIANA | CRIOLLA DE SIJAN | MALVASIA CRIOLLA | CRIOLLA DE TINOGASTA | CRIOLLA 1 | CRIOLLA 6 | CRIOLLA 125,vivc confirmed,,,,
CROATINA N.,1,tier3,CROATINA,CROATINA | CROATINA BIANCA | CROATINA DI ROVESCALA,vivc confirmed,,,,
DALMASSO  3-32,1,tier3,DALMASSO 3-32,DALMASSO 3-32 | DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33,vivc confirmed,,,,
DALMASSO  3-33,1,tier3,DALMASSO 3-33,DALMASSO 3-33 | DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33,vivc confirmed,,,,
DALMASSO  4- 6,1,tier3,DALMASSO 10-10,DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33 | DALMASSO 28-24,vivc confirmed,,,,
DALMASSO  4-27,1,tier3,DALMASSO 4-27,DALMASSO 4-27 | DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33,node profile,,,,
DALMASSO  5- 1,1,tier3,DALMASSO 10-10,DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33 | DALMASSO 28-24,vivc confirmed,,,,
DALMASSO  6- 6,1,tier3,DALMASSO 10-10,DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33 | DALMASSO 28-24,vivc confirmed,,,,
DALMASSO  6- 9,1,tier3,DALMASSO 10-10,DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33 | DALMASSO 28-24,vivc confirmed,,,,
DALMASSO  6-24,1,tier3,DALMASSO 6-24,DALMASSO 6-24 | DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33,vivc confirmed,,,,
DALMASSO  7-23,1,tier3,DALMASSO 7-23,DALMASSO 7-23 | DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33,node profile,,,,
DALMASSO  8- 1,1,tier3,DALMASSO 10-10,DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33 | DALMASSO 28-24,vivc confirmed,,,,
DALMASSO  8-10,1,tier3,DALMASSO 8-10,DALMASSO 8-10 | DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33,node profile,,,,
DALMASSO  9-  2,1,tier3,DALMASSO 10-10,DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33 | DALMASSO 28-24,vivc confirmed,,,,
DALMASSO 14-   4,1,tier3,DALMASSO 10-10,DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33 | DALMASSO 28-24,vivc confirmed,,,,
DARKAIA NOIR = COARNA NEAGRA,1,tier3,COARNA NEAGRA,COARNA NEAGRA | COARNA NEAGRA SELECTIONATA | COARNA NEAGRA AROMATA | COARNA NEAGRA TAMIIOASA | COARNA TURCEASCA NEAGRA,laucou 2018,,,,
DARKEIA NOIR,1,tier3,PINOT NOIR,PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,vivc confirmed,,,,
DATTIER DE BEYROUTH = AFUZ ALI ANGELO PIROVANO = PIROVANO 2,1,tier3,ANGELO PIROVANO,ANGELO PIROVANO,lacombe 2013,,,,
DATTIER DE SAINT VALLIER,1,tier3,DATTIER DE ST. VALLIER,DATTIER DE ST. VALLIER | MESLIER SAINT FRANCOIS | SAINT LAURENT | SAINT COME | DATTIER NOIR | SAINT FIACRE | SAINT LOUIS FAUX | SAINT PIERRE DORE | MUSCAT DE ST. VALLIER BLANC | SAINT PAUL,vivc confirmed,,,,
DAVIS B 40-29,1,tier3,DAVIS Z 4- 87,DAVIS Z 4- 87 | DAVIS J 17- 53 | DAVIS J 17- 58 | DAVIS J 17- 69 | DAVIS K 48- 35 | DAVIS K 48- 38 | DAVIS K 48- 43 | DAVIS K 48- 45 | DAVIS K 48- 48 | DAVIS K 51- 32,vivc confirmed,,,,
"DAVIS B 46,43",1,tier3,DAVIS Z 4- 87,DAVIS Z 4- 87 | DAVIS J 17- 53 | DAVIS J 17- 58 | DAVIS J 17- 69 | DAVIS K 48- 35 | DAVIS K 48- 38 | DAVIS K 48- 43 | DAVIS K 48- 45 | DAVIS K 48- 48 | DAVIS K 51- 32,vivc confirmed,,,,
DAVIS B 46-43,1,tier3,DAVIS Z 4- 87,DAVIS Z 4- 87 | DAVIS J 17- 53 | DAVIS J 17- 58 | DAVIS J 17- 69 | DAVIS K 48- 35 | DAVIS K 48- 38 | DAVIS K 48- 43 | DAVIS K 48- 45 | DAVIS K 48- 48 | DAVIS K 51- 32,vivc confirmed,,,,
DAVIS K  5- 20,1,tier3,DAVIS Z 4- 87,DAVIS Z 4- 87 | DAVIS J 17- 53 | DAVIS J 17- 58 | DAVIS J 17- 69 | DAVIS K 48- 35 | DAVIS K 48- 38 | DAVIS K 48- 43 | DAVIS K 48- 45 | DAVIS K 48- 48 | DAVIS K 51- 32,node profile,,,,
DEDO DE DAMA.,1,tier3,DEDO DE DAMA,DEDO DE DAMA,vivc confirmed,,,,
DELIZIA DI VAPRIO = PIROVANO 46 A,1,tier3,DELIZIA DI VAPRIO,DELIZIA DI VAPRIO | MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | DELIZIA GIALLA | PIROVANO 3 | PIROVANO 4,lacombe 2013,,,,
DELIZIA DI VAPRIO = PIROVANO 46 A MUSCAT D'ALEXANDRIE,1,tier3,DELIZIA DI VAPRIO,DELIZIA DI VAPRIO,lacombe 2013,,,,
DELIZIA GIALLA = PIROVANO 266,1,tier3,DELIZIA GIALLA,DELIZIA GIALLA | DELIZIA DI VAPRIO | MARIA PIROVANO | RIBOLLA GIALLA | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | PIROVANO 3,ssr lacombe,,,,
DELIZIA GIALLA = PIROVANO 266 MUSCAT DE HAMBOURG,1,tier3,DELIZIA GIALLA,DELIZIA GIALLA,lacombe 2013,,,,
DES BORDS SABLEUX,1,tier3,RIPARIA DES BORDS SABLEUX,RIPARIA DES BORDS SABLEUX,ssr migliaro,,,,
DINKA ZOLD,1,tier3,URMI DINKA,URMI DINKA | ZSITVAI DINKA | FADDY ZSIGA DINKA | BELA DINKA | DINKA ALBA | NOVA DINKA | DINKA ZOELD | PECSI DINKA | DINKA (RUZIKA) | BOGDANSKA DINKA,lac emanuelli 2020,,,,
DINKA ZÖLD,1,tier3,URMI DINKA,URMI DINKA | ZSITVAI DINKA | FADDY ZSIGA DINKA | BELA DINKA | DINKA ALBA | NOVA DINKA | DINKA ZOELD | PECSI DINKA | DINKA (RUZIKA) | BOGDANSKA DINKA,laucou 2018,,,,
DOLCETTO CNR-UNITO,1,tier3,DOLCETTO,DOLCETTO | DOLCETTO BIANCO,lac emanuelli 2020,,,,
DONA ZILÁ,1,tier3,DONA MARIA,DONA MARIA | A DONA | DONA JOAQUINA | DONA ANA | DONA ZILA | BELLA DONA | KRASA DONA | ATLANT DONA | DONA EMILIA | LAL DONA SORH,ssr oliveira,,,,
DOUX D'HENRY N.,1,tier3,DOUX NOIR,DOUX NOIR | DOUX D'HENRI,vivc confirmed,,,,
DUFOUR 11 F,1,tier3,DUFOUR,DUFOUR | DUFOUR 11F,ssr migliaro,,,,
EBADI B  98,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI I  21,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI I  73,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI K  67,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI K  93,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI R  80,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI R  84,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI S  40,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI S  54,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
EBADI S  55,1,tier3,EBADI A 119,EBADI A 119 | EBADI L 125 | EBADI B 98 | EBADI I 21 | EBADI I 73 | EBADI K 67 | EBADI K 93 | EBADI R 80 | EBADI R 84 | EBADI S 40,vivc confirmed,,,,
ECOLE MONTPELLIER  34,1,tier3,ECOLE MONTPELLIER 34,ECOLE MONTPELLIER 34 | ECOLE MONTPELLIER 142 | ECOLE MONTPELLIER 33 | ECOLE MONTPELLIER 35 | ECOLE MONTPELLIER 45 | ECOLE MONTPELLIER 46 | ECOLE MONTPELLIER 102 | ECOLE MONTPELLIER 136 | ECOLE MONTPELLIER 139 | ECOLE MONTPELLIER 149,node profile,,,,
ELVIRA #,1,tier3,ELVIRA,ELVIRA,ssr oliveira,,,,
EZEREVES MAGYARORSZAG EMLEKE CHASSELAS,1,tier3,EZEREVES MAGYARORSZAG EMLEKE,EZEREVES MAGYARORSZAG EMLEKE,lacombe 2013,,,,
EZEREVES MAGYARORSZAG EMLEKE THALLOCSY LAJOS MUSKOTALY =,1,tier3,EZEREVES MAGYARORSZAG EMLEKE,EZEREVES MAGYARORSZAG EMLEKE,lacombe 2013,,,,
EZEREVES MAGYAROSZAG EMLEKE,1,tier3,EZEREVES MAGYARORSZAG EMLEKE,EZEREVES MAGYARORSZAG EMLEKE | BICZO BALINT EMLEKE | GIZELLA EMLEKE | EGRI NOEK EMLEKE | HIROES HET EMLEKE | KOCSIS PAL EMLEKE | JOSEFIN PECSI EMLEKE | KOCSIS ISTVAN EMLEKE | MATHIASZ JANOS EMLEKE | RETHY LACI BACSI EMLEKE,vivc confirmed,,,,
F AHMAR DERANI,1,tier3,AHMAR DERANI,AHMAR DERANI | AHMAR MAWARDI | ABLAK AHMAR | CHAMI AHMAR | ZEINI AHMAR | KHARZI AHMAR | AHMAR EL NABI | AHMAR KARAWANI | HALBOUTI AHMAR | ABBAS PACHA AHMAR,lacombe 2013,,,,
F AHMEUR BOU AHMEUR,1,tier3,AHMEUR BOU AHMEUR,AHMEUR BOU AHMEUR | AHMEUR LAOUD | AHMEUR MONARDE,lacombe 2013,,,,
F ALFROCHEIRO PRETO,1,tier3,ALFROCHEIRO,ALFROCHEIRO | PRETO CARDANA | PRETO MARTINHO | BOAL PRETO | CRATO PRETO | DOCAR PRETO | CAINHO PRETO | PERRUM PRETO | CACHUDO PRETO | CASTICO PRETO,lacombe 2013,,,,
F ALICANTE HENRI BOUSCHET,1,tier3,ALICANTE HENRI BOUSCHET,ALICANTE HENRI BOUSCHET | ALICANTE BOUSCHET 7 | ALICANTE BOUSCHET TARDIF | ALICANTE BOUSCHET X PIQUEPOUL GRIS 8 | ALICANTE BOUSCHET X PIQUEPOUL GRIS 9 | ALICANTE BOUSCHET 1 | ALICANTE BOUSCHET 2 | ALICANTE BOUSCHET 12 | ALICANTE BOUSCHET 13 | ALICANTE BOUSCHET PRECOCE,lacombe 2013,,,,
F ALPHONSE LAVALLÉE,1,tier3,ALPHONSE LAVALLEE,ALPHONSE LAVALLEE | RUPESTRIS ALPHONSE DE SERRES | ALPHONSE | ALPHONSE BLANC | ALPHONSE LAVALLEE (4N),lacombe 2013,,,,
F AMARAL = CAIÑO LONGO,1,tier3,AMARAL,AMARAL | ANGELO LONGO | AMARAL BRANCO | CAINO LONGO 1 | CAINO LONGO 2 | AMARAL DE BAIAO,lacombe 2013,,,,
F ASSOUED KERE,1,tier3,ASSOUED KERE,ASSOUED KERE | LATSU KERE | ASSOUED ZEME,lacombe 2013,,,,
F ASSYL KARA,1,tier3,GUZAL KARA,GUZAL KARA | KARA UZYUM NUKHURSKII | BOR KARA | ASYL KARA | ALACA KARA | BASAR KARA | CATAL KARA | ALLONE KARA | DIMRIT KARA | DINGIL KARA,lacombe 2013,,,,
F AUBUN,1,tier3,AUBUN,AUBUN | AUBUN PEARL,lacombe 2013,,,,
F AZOUGAH,1,tier3,AZOUGAH,AZOUGAH,lacombe 2013,,,,
F BEAUTY SEEDLESS,1,tier3,BEAUTY SEEDLESS,BEAUTY SEEDLESS | RUBY SEEDLESS | EINSET SEEDLESS | EMERALD SEEDLESS | CENTENNIAL SEEDLESS | DAWN SEEDLESS | CANNER SEEDLESS | BRONX SEEDLESS | FLAME SEEDLESS | MUSCAT SEEDLESS,lacombe 2013,,,,
F BERBECEL = APROFEHER,1,tier3,BERBECEL,BERBECEL,lacombe 2013,,,,
F BLANK BLAUER = VULPEA,1,tier3,VULPEA,VULPEA | FRUEHER BLAUER WAELSCHER X FARBTRAUBE NR. 4 | BLANK WEISS | VULPEA FAUX | BLAUER GROSSER | BLAUER TWANNER | JACOBIN BLAUER,lacombe 2013,,,,
F BOUCHEREAU,1,tier3,BOUCHEREAU,BOUCHEREAU,lacombe 2013,,,,
F BRUSTIANO FAUX (COLLECTION PARC DE (COLLECTION TORRES S.A.),1,tier3,SALICETTE (COLLECTION PARC DE LA TETE D'OR),SALICETTE (COLLECTION PARC DE LA TETE D'OR) | EARLY DAWN FAUX (COLLECTION RAVAZ) | EKIM KARA FAUX (COLLECTION CONEGLIANO) | ICHKIMAR BELYI FAUX (COLLECTION KICHINEV) | MOSCATEL DE OEIRAS FAUX (COLLECTION BORDEAUX),lacombe 2013,,,,
F BRUSTIANO FAUX (COLLECTION PARC DE LA TÊTE D'OR),1,tier3,SALICETTE (COLLECTION PARC DE LA TETE D'OR),SALICETTE (COLLECTION PARC DE LA TETE D'OR),lacombe 2013,,,,
F CHASSELAS,1,tier3,CHASSELAS ROSE,CHASSELAS ROSE | CHASSELAS ROUGE | CHASSELAS CIOUTAT | CHASSELAS DES BOUCHES DU RHONE | CHASSELAS BLANC | CHASSELAS VIOLET | CHASSELAS QUEEN VICTORIA | CHASSELAS BABO | CHASSELAS MUSQUE | CHASSELAS OBERLIN,lacombe 2013,,,,
F CHIKKI,1,tier3,CHIKKI,CHIKKI,lacombe 2013,,,,
F CLAIRETTE,1,tier3,CLAIRETTE MAZEL,CLAIRETTE MAZEL | CLAIRETTE BLANCHE | CLAIRETTE ROSE | CLAIRETTE B. NICE | CLAIRETTE POINSEAU | CLAIRETTE AMERICAINE | CLAIRETTE BELDI 3612 | CLAIRETTE RESISTANTE | CLAIRETTE DOREE GANZIN | CLAIRETTE A GROS GRAINS,lacombe 2013,,,,
F CORINTHE NOIR,1,tier3,PINOT NOIR,PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,lacombe 2013,,,,
F CORTEZA NERA,1,tier3,BARBERA NERA,BARBERA NERA | PICCOLA NERA | MALVASIA NERA DI BRINDISI | ALMERIA NERA | MALVASIA NERA DI BOLZANO | MALVASIA NERA DI BASILICATA | NERA RADA | ASCERA NERA | CANINA NERA | COHEGI NERA,lacombe 2013,,,,
F COT = MALBEC,1,tier3,CABERNET MALBEC 1,CABERNET MALBEC 1 | CABERNET MALBEC 2 | CABERNET MALBEC 4 | MALBEC PRECOCE,lacombe 2013,,,,
F COURBU,1,tier3,GROS COURBU DE SEMIS,GROS COURBU DE SEMIS | COURBU BLANC | COURBU NOIR | COURBU PETIT,lacombe 2013,,,,
F CROUCHEN,1,tier3,CROUCHEN,CROUCHEN,lacombe 2013,,,,
F CRUCIULITA,1,tier3,CRUCIULITA,CRUCIULITA,lacombe 2013,,,,
F DATTIER DE BEYROUTH = AFUZ ALI,1,tier3,DATTIER DE ST. VALLIER,DATTIER DE ST. VALLIER | DATTIER NOIR | DATTIER PRECOCE DE SEIBEL,lacombe 2013,,,,
F DEDO DE DAMA,1,tier3,DEDO DE DAMA,DEDO DE DAMA,lacombe 2013,,,,
F DELIGHT,1,tier3,DELIGHT,DELIGHT | EVANS DELIGHT | AFRICAN DELIGHT | TOPICAL DELIGHT,lacombe 2013,,,,
F DELIZIA DI VAPRIO = PIROVANO 46 A,1,tier3,DELIZIA DI VAPRIO,DELIZIA DI VAPRIO | MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | DELIZIA GIALLA | PIROVANO 3 | PIROVANO 4,lacombe 2013,,,,
F EKIM KARA FAUX (COLLECTION CONEGLIANO),1,tier3,EKIM KARA FAUX (COLLECTION CONEGLIANO),EKIM KARA FAUX (COLLECTION CONEGLIANO) | EKIM KARA | EARLY DAWN FAUX (COLLECTION RAVAZ) | ICHKIMAR BELYI FAUX (COLLECTION KICHINEV) | MOSCATEL DE OEIRAS FAUX (COLLECTION BORDEAUX),lacombe 2013,,,,
F EZERJO,1,tier3,EZERJO,EZERJO | CSERSZEGI EZERJO,lacombe 2013,,,,
F FRANCUSE,1,tier3,FRANCUSE,FRANCUSE,lacombe 2013,,,,
F FRANKENTHAL = SCHIAVA GROSSA,1,tier3,SCHIAVA GROSSA,SCHIAVA GROSSA | SCHIAVA GROSSA (4N) | SCHIAVA GENTILE | AGLIANICO GRANA GROSSA | GROSSA | CODA GROSSA | KODA GROSSA | NERA GROSSA | BERLA GROSSA | SCHIAVA BIANCA,lacombe 2013,,,,
F FURMINT,1,tier3,FURMINT,FURMINT | FURMINT PIROS | FURMINT DE MINIS | FURMINT VALTOEZOE,lacombe 2013,,,,
F GARGANEGA = GRECANICO,1,tier3,GARGANEGA,GARGANEGA | GARGANEGA MASCIO | GARGANEGA VICENTINA,lacombe 2013,,,,
F GOUAIS BLANC = HEUNISCH WEISS,1,tier3,HEUNISCH WEISS,HEUNISCH WEISS | HEUNISCH WEISS SEEDLESS,lacombe 2013,,,,
F GROS COLMAN,1,tier3,GROS COLMAN BLANC,GROS COLMAN BLANC | GROS CABERNET | MAROC GROS | GROS BEC | COLMAN BLANC | GROS MANSOIS | GROS COURBU DE SEMIS | GROS DORE | PEJAC GROS | MANSENG GROS BLANC,lacombe 2013,,,,
F GYÖNGY FEHER,1,tier3,LISZTES FEHER,LISZTES FEHER | HARS FEHER | TODOR FEHER | GYOENGY FEHER | KADARKA FEHER | KAVACSI FEHER | OSZTRAK FEHER | VALLASI FEHER | CZOLLNER FEHER | CSERSZEGI FEHER,lacombe 2013,,,,
F HAMVAS,1,tier3,HAMVAS,HAMVAS,lacombe 2013,,,,
F HEPTAKILO,1,tier3,HEPTAKILO,HEPTAKILO | HEPTAKILO ASPRO,lacombe 2013,,,,
F KADARKA,1,tier3,KADARKA KEK,KADARKA KEK | OLASZ KADARKA | KADARKA OREG | KADARKA SRB | KADARKA FEHER | KADARKA PIROS | MESZI KADARKA | KADARKA SZUERKE | KADARKA TOEROEK,lacombe 2013,,,,
F KAISI ROUMI,1,tier3,ROUMI NOIR,ROUMI NOIR | KAISI ROMI | KAISI | KAISI BALADI,lacombe 2013,,,,
F KECSKECSECSU ROSZAS PIROS,1,tier3,TOEKOES PIROS,TOEKOES PIROS | OEROEKKE PIROS | SEIP PIROS | SZEP PIROS | BOROS PIROS | CSABA PIROS | GOHER PIROS | KORAI PIROS | LUBIK PIROS | GENUAI PIROS,lacombe 2013,,,,
F KHALILI BELYI,1,tier3,KHALILI BELYI,KHALILI BELYI | KOKURDES BELYI | KOKUR BELYI | SATENI BELYI | SHAANI BELYI | BULANYI BELYI | ARAKSENI BELYI | KHUSAINE BELYI | ECHKE MEME BELYI | SUKHOLIMANSKII BELYI,lacombe 2013,,,,
F KHOUSSAÏNÉ BLANC,1,tier3,CHARDONNAY BLANC,CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC | VILLARD BLANC | BALZAC BLANC,lacombe 2013,,,,
F KICHMICH ROND,1,tier3,TERRAMON ROND,TERRAMON ROND | KARA KICHMICH OVROUT,lacombe 2013,,,,
F KICHMICH TCHERNI,1,tier3,KARA KICHMICH OVROUT,KARA KICHMICH OVROUT,lacombe 2013,,,,
F KOKOUR BELY,1,tier3,POJONI BELY,POJONI BELY | KAIRAKI BELY | ZELENIAN BELY | KROKONATE BELY | LAZAREVSKY BELY | CROUSHEVSKI BELY,lacombe 2013,,,,
F LISZTES FEHER,1,tier3,LISZTES FEHER,LISZTES FEHER | HARS FEHER | TODOR FEHER | GYOENGY FEHER | KADARKA FEHER | KAVACSI FEHER | LISZTES PIROS | OSZTRAK FEHER | VALLASI FEHER | CZOLLNER FEHER,lacombe 2013,,,,
F MADELEINE ANGEVINE OBERLIN,1,tier3,MADELEINE ANGEVINE OBERLIN,MADELEINE ANGEVINE OBERLIN | MADELEINE ANGEVINE | MADELEINE ANGEVINE (4N) | MADELEINE ROYALE | MADELEINE DE CLERMONT | MADELEINE CELINE | OBERLIN 477 | OBERLIN 604 | OBERLIN 605 | OBERLIN 782,lacombe 2013,,,,
F MADELEINE ROYALE,1,tier3,MADELEINE ROYALE,MADELEINE ROYALE | MADELEINE ANGEVINE | MADELEINE DE CLERMONT | MADELEINE ANGEVINE OBERLIN | MADELEINE CELINE | MADELEINE SAEMLING 18 | MADELEINE | MADELEINE NOIRE | SOVEREIGN ROYALE | MADELEINE JULIETTE,lacombe 2013,,,,
F MANCENS = GIRO DE BALEARES,1,tier3,GIRO SARDO,GIRO SARDO | GIRO NERO | GIRO DI BOSA | GIRO ROS | GIRO BLANCO | GIRO DI GONNOS,lacombe 2013,,,,
F MANTEUDO = MANTUO DE PILAS,1,tier3,MANTEUDO,MANTEUDO | MANTUO MORADO | MANTEUDO PRETO | MANTUO DE GRANADA,lacombe 2013,,,,
